scenario,trial,lambda,lambda_rmse,lambda_relative_mae,measurement_rmse,measurement_relative_mae,sicc_rmse,sicc_relative_mae,lambda_detection_rate,sicc_detection_rate
no_gross_error,0,0.12915496650148828,0.5229499462474241,0.0516252109487431,0.5233102301492807,0.055571944519088326,0.5229582867595742,0.05221703316640198,1.0,1.0
no_gross_error,1,0.12915496650148828,0.2606396565300286,0.047654623161615194,0.2745348635309039,0.08777218249469129,0.2603680959359133,0.0421510978137768,1.0,1.0
no_gross_error,2,7.742636826811277,0.19549664451088233,0.08992716584106974,0.2048137956962984,0.09776892374920201,0.1551248192519521,0.030775579609954442,1.0,1.0
no_gross_error,3,7.742636826811277,0.809294664310585,0.10533171810679168,0.809691316333487,0.10862467256516171,0.8098600676195927,0.10924242890801839,1.0,0.0
no_gross_error,4,7.742636826811277,0.49153588586573593,0.10005471156115493,0.49228460489033726,0.10445061591715789,0.4902098925284235,0.09023536879061057,1.0,1.0
no_gross_error,5,0.12915496650148828,0.39746031330567827,0.0711911429079863,0.39890048357151114,0.08271451199392636,0.3976066236844783,0.07457463243332034,1.0,1.0
no_gross_error,6,7.742636826811277,0.39039720839081865,0.06825104806393946,0.390840374453167,0.07145796417884996,0.3930518721785069,0.07779744672668774,1.0,0.0
no_gross_error,7,7.742636826811277,0.11242602426731756,0.04508717282562468,0.1159966319220185,0.04879884257782511,0.09875379282198259,0.017559015632656893,1.0,1.0
no_gross_error,8,0.12915496650148828,0.3864303128495513,0.05816228192762,0.3864893344765469,0.05391335397012252,0.38674443271027376,0.06024620346091737,1.0,1.0
no_gross_error,9,7.742636826811277,0.41735892550263715,0.09104320935140402,0.417830937988101,0.09286653616466312,0.41495691825983844,0.07033346917281051,1.0,1.0
no_gross_error,10,7.742636826811277,0.4028382910908899,0.06944465317810032,0.40302051264762045,0.07106909321251874,0.4026143111881905,0.06909101203978676,1.0,1.0
no_gross_error,11,0.12915496650148828,0.23016035755844527,0.029501329537995256,0.23393919515194683,0.04606497871623174,0.23006824294604009,0.02948719615646251,1.0,1.0
